modelKey,code,featureKey,defaultValue
last_1_year_international_passenger_avg_late_time,DW_TS_BASIC_last1YearInternationalPassengerAvgLateTime,DW_TS_BASIC_last1YearInternationalPassengerAvgLateTime,-9999
last_7_day_model_num,DW_TS_BASIC_last7DayModelNum,DW_TS_BASIC_last7DayModelNum,-9999
last_1_month_passenger_online_orders,DW_TS_BASIC_last1MonthPassengerOnlineOrders,DW_TS_BASIC_last1MonthPassengerOnlineOrders,-9999
last_2_year_not_online_actual_cost,DW_TS_BASIC_last2YearNotOnlineActualCostNew,DW_TS_BASIC_last2YearNotOnlineActualCostNew,-9999
last_1_year_passenger_evening_finish_orders_rate,DW_TS_BASIC_last1YearPassengerEveningFinishOrdersRate,DW_TS_BASIC_last1YearPassengerEveningFinishOrdersRate,-9999
last_1_year_passenger_avg_1km_actual_cost,DW_TS_BASIC_last1YearPassengerAvg1kmActualCost,DW_TS_BASIC_last1YearPassengerAvg1kmActualCost,-9999
last_1_year_passenger_offline_orders,DW_TS_BASIC_last1YearPassengerOfflineOrders,DW_TS_BASIC_last1YearPassengerOfflineOrders,-9999
first_complete_payment_method,DW_TS_BASIC_firstCompletePaymentMethod,DW_TS_BASIC_firstCompletePaymentMethod,-9999
last_3_month_international_driver_finish_orders,DW_TS_BASIC_last3MonthInternationalDriverFinishOrders,DW_TS_BASIC_last3MonthInternationalDriverFinishOrders,-9999
last_6_month_factual_cost_cv,DW_TS_BASIC_last6MonthFactualCostCv,DW_TS_BASIC_last6MonthFactualCostCv,-9999
last_6_month_passenger_avg_1km_actual_cost,DW_TS_BASIC_last6MonthPassengerAvg1kmActualCost,DW_TS_BASIC_last6MonthPassengerAvg1kmActualCost,-9999
first_cancel_city,DW_TS_BASIC_firstCancelCity,DW_TS_BASIC_firstCancelCity,-9999
last_1_month_city_num,DW_TS_BASIC_last1MonthCityNum,DW_TS_BASIC_last1MonthCityNum,-9999
last_6_month_passenger_night_call_orders,DW_TS_BASIC_last6MonthPassengerNightCallOrders,DW_TS_BASIC_last6MonthPassengerNightCallOrders,-9999
avg_last_2_month_finish_gmv,DW_TS_BASIC_avgLast2MonthFinishGmvNew,DW_TS_BASIC_avgLast2MonthFinishGmvNew,-9999
card_180_cnt,DW_TS_BASIC_card180CntNew,DW_TS_BASIC_card180CntNew,-9999
last_6_month_international_driver_divide_amt,DW_TS_BASIC_last6MonthInternationalDriverDivideAmt,DW_TS_BASIC_last6MonthInternationalDriverDivideAmt,-9999
last_6_month_not_online_actual_cost,DW_TS_BASIC_last6MonthNotOnlineActualCostNew,DW_TS_BASIC_last6MonthNotOnlineActualCostNew,-9999
last_7_day_avg_actual_cost,DW_TS_BASIC_last7DayAvgActualCost,DW_TS_BASIC_last7DayAvgActualCost,-9999
last_3_month_passenger_morning_finish_orders_rate,DW_TS_BASIC_last3MonthPassengerMorningFinishOrdersRate,DW_TS_BASIC_last3MonthPassengerMorningFinishOrdersRate,-9999
last_1_year_international_driver_midnight_finish_orders,DW_TS_BASIC_last1YearInternationalDriverMidnightFinishOrders,DW_TS_BASIC_last1YearInternationalDriverMidnightFinishOrders,-9999
last_6_month_credit_home_num,DW_TS_BASIC_last6MonthCreditHomeNum,DW_TS_BASIC_last6MonthCreditHomeNum,-9999
last_3_month_international_sum_driver_online_days,DW_TS_BASIC_last3MonthInternationalSumDriverOnlineDays,DW_TS_BASIC_last3MonthInternationalSumDriverOnlineDays,-9999
